COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 0; 40.29; 21.579; 21.6495; Distance; 8.06
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 1; 26.86; 14.386; 28.866; Distance; 13.9
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 2; 53.72; 17.9825; 36.0825; Distance; 15.25
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 3; 40.29; 14.386; 21.6495; Distance; 8.06
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 4; 53.72; 14.386; 28.866; Distance; 13.9
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 5; 26.86; 21.579; 28.866; Distance; 13.9
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 6; 26.86; 17.9825; 36.0825; Distance; 15.25
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 7; 53.72; 17.9825; 21.6495; Distance; 15.25
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 8; 26.86; 17.9825; 21.6495; Distance; 15.25
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 9; 53.72; 21.579; 28.866; Distance; 13.9
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 10; 40.29; 21.579; 36.0825; Distance; 8.06
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 11; 40.29; 25.1755; 28.866; Distance; 7.19
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 12; 40.29; 14.386; 36.0825; Distance; 8.06
COM Central ;141; [ 40.29    17.9825  28.866 ]; COM Molec; 13; 40.29; 10.7895; 28.866; Distance; 7.19
