COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 0; 13.43; 28.772; 50.5155; Distance; 25.48
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 1; 26.86; 32.3685; 50.5155; Distance; 21.95
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 2; 13.43; 35.965; 50.5155; Distance; 26.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 3; 26.86; 39.5615; 50.5155; Distance; 24.19
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 4; 13.43; 43.158; 50.5155; Distance; 29.26
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 5; 40.29; 35.965; 50.5155; Distance; 26.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 6; 40.29; 43.158; 50.5155; Distance; 29.26
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 7; 40.29; 50.351; 50.5155; Distance; 33.39
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 8; 26.86; 46.7545; 50.5155; Distance; 28.14
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 9; 13.43; 50.351; 50.5155; Distance; 33.39
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 10; 40.29; 28.772; 50.5155; Distance; 25.48
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 11; 40.29; 21.579; 50.5155; Distance; 26.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 12; 26.86; 25.1755; 50.5155; Distance; 21.95
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 13; 13.43; 21.579; 50.5155; Distance; 26.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 14; 40.29; 14.386; 50.5155; Distance; 29.26
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 15; 13.43; 14.386; 50.5155; Distance; 29.26
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 16; 26.86; 17.9825; 50.5155; Distance; 24.19
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 17; 13.43; 7.193; 50.5155; Distance; 33.39
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 18; 26.86; 10.7895; 50.5155; Distance; 28.14
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 19; 40.29; 7.193; 50.5155; Distance; 33.39
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 20; 26.86; 28.772; 43.299; Distance; 14.43
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 21; 13.43; 32.3685; 43.299; Distance; 20.04
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 22; 26.86; 35.965; 43.299; Distance; 16.13
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 23; 13.43; 39.5615; 43.299; Distance; 22.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 24; 26.86; 43.158; 43.299; Distance; 20.38
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 25; 13.43; 46.7545; 43.299; Distance; 26.68
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 26; 40.29; 32.3685; 43.299; Distance; 20.04
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 27; 40.29; 39.5615; 43.299; Distance; 22.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 28; 40.29; 46.7545; 43.299; Distance; 26.68
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 29; 26.86; 50.351; 43.299; Distance; 25.96
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 30; 40.29; 25.1755; 43.299; Distance; 20.04
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 31; 26.86; 21.579; 43.299; Distance; 16.13
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 32; 13.43; 25.1755; 43.299; Distance; 20.04
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 33; 13.43; 10.7895; 43.299; Distance; 26.68
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 34; 40.29; 10.7895; 43.299; Distance; 26.68
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 35; 13.43; 17.9825; 43.299; Distance; 22.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 36; 26.86; 14.386; 43.299; Distance; 20.38
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 37; 40.29; 17.9825; 43.299; Distance; 22.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 38; 26.86; 7.193; 43.299; Distance; 25.96
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 39; 13.43; 28.772; 36.0825; Distance; 15.25
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 40; 26.86; 39.5615; 36.0825; Distance; 12.98
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 41; 13.43; 35.965; 36.0825; Distance; 16.86
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 42; 26.86; 32.3685; 36.0825; Distance; 8.06
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 43; 13.43; 43.158; 36.0825; Distance; 20.96
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 44; 13.43; 50.351; 36.0825; Distance; 26.42
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 45; 26.86; 46.7545; 36.0825; Distance; 19.38
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 46; 40.29; 28.772; 36.0825; Distance; 15.25
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 47; 40.29; 35.965; 36.0825; Distance; 16.86
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 48; 40.29; 43.158; 36.0825; Distance; 20.96
